X	Y
0	16.650602341
1	16.385541916
2	16.433734894
3	16.469879150
4	16.373493195
5	16.433734894
6	16.433734894
7	16.493976593
8	16.481927872
9	16.542169571
10	16.313253403
11	16.518072128
12	16.807228088
13	16.915662766
14	16.638553619
15	16.831325531
16	16.951807022
17	16.626506805
18	16.373493195
19	16.807228088
20	16.397590637
21	16.578313828
22	16.566265106
23	16.409639359
24	16.710844040
25	17.072288513
26	16.951807022
27	16.710844040
28	16.650602341
29	16.939758301
30	16.975904465
31	17.024095535
32	16.795181274
33	16.867469788
34	17.120481491
35	17.072288513
36	17.192771912
37	17.240962982
38	17.204818726
39	17.313253403
40	17.240962982
41	17.481927872
42	17.000000000
43	17.746988297
44	17.228916168
45	17.457830429
46	17.650602341
47	17.542169571
48	17.590360641
49	17.554216385
50	17.445783615
51	17.240962982
52	17.024095535
53	17.253011703
54	17.445783615
55	17.301204681
56	17.566265106
57	17.554216385
58	17.542169571
59	17.734939575
60	18.072288513
61	17.939758301
62	18.132530212
63	18.325302124
64	18.204818726
65	18.301204681
66	18.072288513
67	18.614458084
68	18.301204681
69	18.783132553
70	18.469879150
71	18.783132553
72	18.686746597
73	19.000000000
74	18.975904465
75	19.060241699
76	19.409639359
77	19.120481491
78	19.060241699
79	18.831325531
80	18.867469788
81	19.433734894
82	19.566265106
83	19.433734894
84	18.819276810
85	19.879518509
86	19.493976593
87	19.903614044
88	20.204818726
89	19.975904465
90	20.204818726
91	19.867469788
92	20.433734894
93	20.385541916
94	21.120481491
95	21.108434677
96	20.337348938
97	20.168674469
98	20.361446381
99	20.987951279
100	20.084337234
101	20.433734894
102	21.192771912
103	21.614458084
104	20.915662766
105	20.614458084
106	20.000000000
107	20.903614044
108	21.469879150
109	21.614458084
110	21.746988297
111	21.361446381
112	21.722890854
113	21.867469788
114	22.168674469
115	21.325302124
116	20.855421066
117	20.698795319
118	20.951807022
119	21.325302124
120	21.433734894
121	21.554216385
122	21.662651062
123	22.228916168
124	22.650602341
125	23.566265106
126	24.674697876
127	25.542169571
128	25.240962982
129	25.349397659
130	25.192771912
131	25.337348938
132	24.843374252
133	25.445783615
134	24.951807022
135	25.891565323
136	25.397590637
137	26.048192978
138	26.710844040
139	26.783132553
140	26.614458084
141	26.012048721
142	25.722890854
143	26.879518509
144	27.650602341
145	28.409639359
146	28.506023407
147	28.783132553
148	28.915662766
149	29.180723190
150	29.939758301
151	29.987951279
152	31.192771912
153	31.518072128
154	31.180723190
155	31.638553619
156	31.518072128
157	32.277107239
158	32.734939575
159	32.084339142
160	31.686746597
161	32.566265106
162	32.746986389
163	33.807228088
164	33.240962982
165	33.686748505
166	32.951808929
167	33.325302124
168	33.120483398
169	33.903614044
170	33.819278717
171	34.602409363
172	34.867469788
173	36.807228088
174	37.048191071
175	36.879516602
176	36.590362549
177	37.012046814
178	37.361446381
179	39.662651062
180	40.530120850
181	41.313251495
182	41.120483398
183	41.265060425
184	41.457832336
185	41.265060425
186	41.060241699
187	40.987953186
188	41.771083832
189	41.614456177
190	42.602409363
191	42.325302124
192	41.746986389
193	41.698795319
194	41.385543823
195	41.903614044
196	41.265060425
197	41.903614044
198	42.301204681
199	42.855422974
200	43.228916168
201	43.819278717
202	43.253013611
203	43.939758301
204	45.301204681
205	46.493976593
206	48.313251495
207	48.530120850
208	48.168674469
209	48.313251495
210	48.301204681
211	49.265060425
212	51.325302124
213	52.963855743
214	55.349395752
215	56.253013611
216	57.349395752
217	58.433734894
