X	Y
134	25.903999329
135	25.784000397
136	26.568000793
137	26.055999756
138	26.752000809
139	27.128000259
140	27.527999878
141	28.447999954
142	28.408000946
143	28.951999664
144	27.648000717
145	28.304000854
146	29.840000153
147	29.704000473
148	29.488000870
149	29.360000610
150	28.944000244
151	29.704000473
152	30.968000412
153	31.096000671
154	31.520000458
155	32.664001465
156	33.000000000
157	33.616001129
158	33.743999481
159	33.527999878
160	33.680000305
161	34.504001617
162	34.368000031
163	34.568000793
164	36.023998260
165	35.976001740
166	35.959999084
167	35.976001740
168	36.383998871
169	36.672000885
170	37.063999176
171	37.448001862
172	37.807998657
173	39.071998596
174	38.375999451
175	37.959999084
176	39.175998688
177	40.400001526
178	41.512001038
179	42.175998688
180	43.344001770
181	43.464000702
182	44.408000946
183	44.183998108
184	45.192001343
185	44.743999481
186	45.655998230
187	45.824001312
188	46.560001373
189	46.959999084
190	46.159999847
191	46.591999054
192	46.088001251
193	47.088001251
194	47.215999603
195	47.456001282
196	48.007999420
197	48.032001495
198	48.720001221
199	48.495998383
200	49.119998932
201	50.599998474
202	51.512001038
203	52.208000183
204	52.456001282
205	52.495998383
206	52.816001892
207	54.344001770
208	56.344001770
209	57.992000580
210	59.743999481
211	60.271999359
212	62.055999756
213	62.416000366
214	62.000000000
215	63.504001617
216	64.975997925
217	66.512001038
218	67.648002625
219	68.487998962
220	68.648002625
221	69.199996948
222	71.071998596
223	71.319999695
224	71.888000488
225	70.968002319
226	70.711997986
227	70.720001221
228	70.736000061
229	71.456001282
230	71.080001831
231	71.216003418
232	71.639999390
233	73.367996216
234	74.783996582
235	76.111999512
236	75.192001343
237	76.208000183
238	76.335998535
239	76.255996704
240	77.496002197
241	78.695999146
242	80.295997620
243	81.727996826
244	83.431999207
245	84.480003357
246	86.295997620
247	88.071998596
248	87.360000610
249	88.664001465
250	89.424003601
251	90.816001892
252	92.047996521
253	94.335998535
254	94.176002502
255	96.367996216
256	97.096000671
257	98.888000488
258	100.583999634
259	100.903999329
260	100.847999573
261	101.879997253
262	104.720001221
263	105.832000732
264	106.599998474
265	108.688003540
266	107.704002380
267	108.527999878
268	110.136001587
269	111.944000244
270	111.791999817
271	113.120002747
272	114.064002991
273	113.624000549
274	113.384002686
275	115.487998962
276	116.592002869
277	116.872001648
278	116.375999451
279	116.199996948
280	116.944000244
281	118.695999146
282	120.736000061
283	120.935997009
284	120.648002625
285	121.615997314
286	122.847999573
287	124.208000183
288	125.416000366
289	125.896003723
290	124.760002136
291	125.952003479
292	127.192001343
293	127.615997314
294	127.968002319
295	127.351997375
296	128.871994019
297	127.288002014
298	127.496002197
299	126.991996765
300	127.648002625
301	128.216003418
302	127.351997375
303	127.304000854
304	128.287994385
305	129.776000977
306	129.695999146
307	132.391998291
308	133.031997681
309	134.024002075
310	135.311996460
311	139.399993896
312	139.343994141
313	141.703994751
314	141.871994019
315	144.871994019
316	143.048004150
317	144.007995605
318	146.111999512
319	146.391998291
320	146.671997070
321	147.160003662
322	147.264007568
323	148.983993530
324	148.119995117
325	151.455993652
326	152.975997925
327	154.143997192
328	153.944000244
329	157.007995605
330	157.207992554
331	156.151992798
332	157.768005371
333	160.792007446
334	160.199996948
335	159.264007568
336	160.664001465
337	160.207992554
338	160.695999146
339	160.352005005
340	161.264007568
341	162.759994507
342	159.800003052
343	162.175994873
344	161.527999878
345	162.311996460
346	161.904006958
347	160.455993652
348	158.807998657
349	158.352005005
350	158.080001831
351	158.751998901
352	159.376007080
353	159.783996582
354	158.016006470
355	159.223999023
356	157.600006104
357	157.192001343
358	155.727996826
359	155.024002075
360	154.552001953
361	156.863998413
362	157.576004028
363	157.447998047
364	157.231994629
365	156.279998779
366	156.960006714
367	155.800003052
368	158.000000000
369	156.591995239
370	158.048004150
371	155.264007568
372	155.024002075
373	158.703994751
374	156.951995850
375	153.856002808
376	151.927993774
377	150.304000854
378	151.119995117
379	150.951995850
380	150.664001465
381	149.039993286
382	150.296005249
383	150.664001465
384	150.656005859
385	149.408004761
386	150.384002686
387	151.352005005
388	152.080001831
389	153.871994019
390	154.664001465
391	154.944000244
392	154.024002075
393	155.871994019
394	153.759994507
395	152.367996216
396	148.279998779
397	143.192001343
398	140.888000488
399	138.807998657
400	135.039993286
401	133.679992676
402	131.264007568
403	133.376007080
404	132.104003906
405	129.664001465
406	127.431999207
407	126.223999023
408	124.959999084
409	123.496002197
410	123.087997437
