X	Y
0	16.000000000
1	16.972742081
2	16.099996567
3	14.379046440
4	17.099643707
5	17.381237030
6	17.455953598
7	16.247201920
8	16.986661911
9	17.008754730
10	16.910608292
11	17.296907425
12	18.526020050
13	18.025707245
14	18.746152878
15	17.838548660
16	17.243688583
17	17.076007843
18	17.763160706
19	18.068542480
20	17.277664185
21	18.391532898
22	17.729858398
23	15.851417542
24	16.370155334
25	17.822090149
26	17.339412689
27	17.529321671
28	18.171251297
29	17.967557907
30	18.922372818
31	17.894531250
32	17.440454483
33	16.845659256
34	17.514789581
35	17.172182083
36	17.900787354
37	18.078323364
38	18.141166687
39	19.114570618
40	19.221145630
41	19.256429672
42	18.580499649
43	18.564252853
44	17.680587769
45	17.296794891
46	16.758810043
47	16.532987595
48	18.737150192
49	19.194116592
50	16.608869553
51	18.055570602
52	18.935029984
53	17.218976974
54	16.402305603
55	18.278776169
56	18.062175751
57	17.134828568
58	17.976078033
59	19.220027924
60	18.369375229
61	18.505344391
62	19.136423111
63	17.600688934
64	18.038751602
65	18.941629410
66	20.277959824
67	19.413148880
68	18.892553329
69	19.524999619
70	18.566825867
71	19.466337204
72	18.919937134
73	18.127429962
74	19.197204590
75	18.169754028
76	18.453945160
77	19.032430649
78	18.588556290
79	19.417562485
80	18.807699203
81	19.811408997
82	20.005878448
83	21.929325104
84	20.717193604
85	19.556238174
86	18.856023788
87	19.705488205
88	20.822099686
89	21.613819122
90	21.369846344
91	19.749319077
92	19.745605469
93	20.663654327
94	21.232240677
95	21.796731949
96	21.740573883
97	22.211866379
98	20.375047684
99	20.556364059
100	20.960014343
101	21.910825729
102	18.793659210
103	21.236146927
104	20.966020584
105	20.488555908
106	20.450326920
107	22.654953003
108	22.350395203
109	22.380990982
110	23.839065552
111	24.504001617
112	23.328586578
113	23.416435242
114	21.991146088
115	21.621927261
116	21.594905853
117	21.326946259
118	21.157913208
119	22.352262497
120	23.375616074
121	22.598909378
122	21.601268768
123	25.432678223
124	23.138643265
125	21.680707932
126	22.668035507
127	22.587791443
128	22.659381866
129	24.169071198
130	24.875051498
131	24.986631393
132	24.411405563
133	25.481868744
134	28.565971375
135	28.620666504
136	27.634756088
137	26.664422989
138	26.354227066
139	25.653472900
140	23.184434891
141	23.341049194
142	24.583627701
143	23.428476334
144	23.932628632
145	25.127613068
146	26.303279877
147	27.781543732
148	28.013298035
149	26.890970230
150	28.659027100
151	28.539520264
152	28.165544510
153	28.011468887
154	27.175125122
155	26.292434692
156	25.159372330
157	26.420166016
158	29.471511841
